ID,Category,Question,Sample Answer,Answer Type,Source Basis
88,Undergraduate Programs,What is the duration of Bachelor of Arts (BA)?,The duration of Bachelor of Arts (BA) is 3 Years.,Direct,Reference + Answered FAQ
89,Undergraduate Programs,What is the eligibility for Bachelor of Arts (BA)?,The listed eligibility for Bachelor of Arts (BA) is 10+2 (Any Stream).,Direct,Reference + Answered FAQ
90,Undergraduate Programs,What is the tuition fee for Bachelor of Arts (BA)?,"The listed tuition for Bachelor of Arts (BA) is $7,900 per year.",Direct,Reference + Answered FAQ
91,Undergraduate Programs,How much does Bachelor of Arts (BA) cost per year?,"The listed tuition for Bachelor of Arts (BA) is $7,900 per year.",Direct,Reference + Answered FAQ
92,Undergraduate Programs,What qualification do I need for Bachelor of Arts (BA)?,The reference lists 10+2 (Any Stream) as the eligibility for Bachelor of Arts (BA).,Direct,Reference + Answered FAQ
93,Undergraduate Programs,How long is Bachelor of Arts (BA)?,Bachelor of Arts (BA) is a 3 Years program.,Direct,Reference + Answered FAQ
94,Undergraduate Programs,Is Bachelor of Science (B.Sc) available?,Yes. Bachelor of Science (B.Sc) is listed as an undergraduate program.,Direct,Reference + Answered FAQ
95,Undergraduate Programs,What is the duration of Bachelor of Science (B.Sc)?,The duration of Bachelor of Science (B.Sc) is 3 Years.,Direct,Reference + Answered FAQ
96,Undergraduate Programs,What is the eligibility for Bachelor of Science (B.Sc)?,The listed eligibility for Bachelor of Science (B.Sc) is 10+2 (PCM/PCB).,Direct,Reference + Answered FAQ
97,Undergraduate Programs,What is the tuition fee for Bachelor of Science (B.Sc)?,"The listed tuition for Bachelor of Science (B.Sc) is $9,400 per year.",Direct,Reference + Answered FAQ
98,Undergraduate Programs,How much does Bachelor of Science (B.Sc) cost per year?,"The listed tuition for Bachelor of Science (B.Sc) is $9,400 per year.",Direct,Reference + Answered FAQ
99,Undergraduate Programs,What qualification do I need for Bachelor of Science (B.Sc)?,The reference lists 10+2 (PCM/PCB) as the eligibility for Bachelor of Science (B.Sc).,Direct,Reference + Answered FAQ
100,Undergraduate Programs,How long is Bachelor of Science (B.Sc)?,Bachelor of Science (B.Sc) is a 3 Years program.,Direct,Reference + Answered FAQ
101,Postgraduate Programs,Is Master of Business Administration (MBA) available?,Yes. Master of Business Administration (MBA) is listed as a postgraduate program.,Direct,Reference + Answered FAQ
102,Postgraduate Programs,What is the duration of Master of Business Administration (MBA)?,The duration of Master of Business Administration (MBA) is 2 Years.,Direct,Reference + Answered FAQ
103,Postgraduate Programs,What is the eligibility for Master of Business Administration (MBA)?,The listed eligibility for Master of Business Administration (MBA) is Bachelor's Degree.,Direct,Reference + Answered FAQ
104,Postgraduate Programs,What is the tuition fee for Master of Business Administration (MBA)?,"The listed tuition for Master of Business Administration (MBA) is $18,500 per year.",Direct,Reference + Answered FAQ
105,Postgraduate Programs,How much does Master of Business Administration (MBA) cost per year?,"The listed tuition for Master of Business Administration (MBA) is $18,500 per year.",Direct,Reference + Answered FAQ
106,Postgraduate Programs,What qualification do I need for Master of Business Administration (MBA)?,The reference lists Bachelor's Degree as the eligibility for Master of Business Administration (MBA).,Direct,Reference + Answered FAQ
107,Postgraduate Programs,How long is Master of Business Administration (MBA)?,Master of Business Administration (MBA) is a 2 Years program.,Direct,Reference + Answered FAQ
108,Postgraduate Programs,Is Master of Computer Applications (MCA) available?,Yes. Master of Computer Applications (MCA) is listed as a postgraduate program.,Direct,Reference + Answered FAQ
109,Postgraduate Programs,What is the duration of Master of Computer Applications (MCA)?,The duration of Master of Computer Applications (MCA) is 2 Years.,Direct,Reference + Answered FAQ
110,Postgraduate Programs,What is the eligibility for Master of Computer Applications (MCA)?,The listed eligibility for Master of Computer Applications (MCA) is Bachelor's in Computing.,Direct,Reference + Answered FAQ
111,Postgraduate Programs,What is the tuition fee for Master of Computer Applications (MCA)?,"The listed tuition for Master of Computer Applications (MCA) is $13,800 per year.",Direct,Reference + Answered FAQ
112,Postgraduate Programs,How much does Master of Computer Applications (MCA) cost per year?,"The listed tuition for Master of Computer Applications (MCA) is $13,800 per year.",Direct,Reference + Answered FAQ
113,Postgraduate Programs,What qualification do I need for Master of Computer Applications (MCA)?,The reference lists Bachelor's in Computing as the eligibility for Master of Computer Applications (MCA).,Direct,Reference + Answered FAQ
114,Postgraduate Programs,How long is Master of Computer Applications (MCA)?,Master of Computer Applications (MCA) is a 2 Years program.,Direct,Reference + Answered FAQ
115,Postgraduate Programs,Is M.Tech (Various Specializations) available?,Yes. M.Tech (Various Specializations) is listed as a postgraduate program.,Direct,Reference + Answered FAQ
116,Postgraduate Programs,What is the duration of M.Tech (Various Specializations)?,The duration of M.Tech (Various Specializations) is 2 Years.,Direct,Reference + Answered FAQ
117,Postgraduate Programs,What is the eligibility for M.Tech (Various Specializations)?,The listed eligibility for M.Tech (Various Specializations) is B.Tech / B.E..,Direct,Reference + Answered FAQ
118,Postgraduate Programs,What is the tuition fee for M.Tech (Various Specializations)?,"The listed tuition for M.Tech (Various Specializations) is $14,600 per year.",Direct,Reference + Answered FAQ
119,Postgraduate Programs,How much does M.Tech (Various Specializations) cost per year?,"The listed tuition for M.Tech (Various Specializations) is $14,600 per year.",Direct,Reference + Answered FAQ
120,Postgraduate Programs,What qualification do I need for M.Tech (Various Specializations)?,The reference lists B.Tech / B.E. as the eligibility for M.Tech (Various Specializations).,Direct,Reference + Answered FAQ
121,Postgraduate Programs,How long is M.Tech (Various Specializations)?,M.Tech (Various Specializations) is a 2 Years program.,Direct,Reference + Answered FAQ
122,Postgraduate Programs,Is Master of Science (M.Sc) available?,Yes. Master of Science (M.Sc) is listed as a postgraduate program.,Direct,Reference + Answered FAQ
123,Postgraduate Programs,What is the duration of Master of Science (M.Sc)?,The duration of Master of Science (M.Sc) is 2 Years.,Direct,Reference + Answered FAQ
124,Postgraduate Programs,What is the eligibility for Master of Science (M.Sc)?,The listed eligibility for Master of Science (M.Sc) is Bachelor's in Science.,Direct,Reference + Answered FAQ
125,Postgraduate Programs,What is the tuition fee for Master of Science (M.Sc)?,"The listed tuition for Master of Science (M.Sc) is $11,200 per year.",Direct,Reference + Answered FAQ
126,Postgraduate Programs,How much does Master of Science (M.Sc) cost per year?,"The listed tuition for Master of Science (M.Sc) is $11,200 per year.",Direct,Reference + Answered FAQ
127,Postgraduate Programs,What qualification do I need for Master of Science (M.Sc)?,The reference lists Bachelor's in Science as the eligibility for Master of Science (M.Sc).,Direct,Reference + Answered FAQ
128,Postgraduate Programs,How long is Master of Science (M.Sc)?,Master of Science (M.Sc) is a 2 Years program.,Direct,Reference + Answered FAQ
129,Postgraduate Programs,Is Master of Arts (MA) available?,Yes. Master of Arts (MA) is listed as a postgraduate program.,Direct,Reference + Answered FAQ
130,Postgraduate Programs,What is the duration of Master of Arts (MA)?,The duration of Master of Arts (MA) is 2 Years.,Direct,Reference + Answered FAQ
131,Postgraduate Programs,What is the eligibility for Master of Arts (MA)?,The listed eligibility for Master of Arts (MA) is Bachelor's Degree.,Direct,Reference + Answered FAQ
132,Postgraduate Programs,What is the tuition fee for Master of Arts (MA)?,"The listed tuition for Master of Arts (MA) is $9,600 per year.",Direct,Reference + Answered FAQ
133,Postgraduate Programs,How much does Master of Arts (MA) cost per year?,"The listed tuition for Master of Arts (MA) is $9,600 per year.",Direct,Reference + Answered FAQ
134,Postgraduate Programs,What qualification do I need for Master of Arts (MA)?,The reference lists Bachelor's Degree as the eligibility for Master of Arts (MA).,Direct,Reference + Answered FAQ
135,Postgraduate Programs,How long is Master of Arts (MA)?,Master of Arts (MA) is a 2 Years program.,Direct,Reference + Answered FAQ
136,Postgraduate Programs,Is Master of Commerce (M.Com) available?,Yes. Master of Commerce (M.Com) is listed as a postgraduate program.,Direct,Reference + Answered FAQ
137,Postgraduate Programs,What is the duration of Master of Commerce (M.Com)?,The duration of Master of Commerce (M.Com) is 2 Years.,Direct,Reference + Answered FAQ
138,Postgraduate Programs,What is the eligibility for Master of Commerce (M.Com)?,The listed eligibility for Master of Commerce (M.Com) is Bachelor's in Commerce.,Direct,Reference + Answered FAQ
139,Postgraduate Programs,What is the tuition fee for Master of Commerce (M.Com)?,"The listed tuition for Master of Commerce (M.Com) is $9,900 per year.",Direct,Reference + Answered FAQ
140,Postgraduate Programs,How much does Master of Commerce (M.Com) cost per year?,"The listed tuition for Master of Commerce (M.Com) is $9,900 per year.",Direct,Reference + Answered FAQ
141,Postgraduate Programs,What qualification do I need for Master of Commerce (M.Com)?,The reference lists Bachelor's in Commerce as the eligibility for Master of Commerce (M.Com).,Direct,Reference + Answered FAQ
142,Postgraduate Programs,How long is Master of Commerce (M.Com)?,Master of Commerce (M.Com) is a 2 Years program.,Direct,Reference + Answered FAQ
143,Programs,What undergraduate programs does Meridian offer?,The listed undergraduate programs are: B.Tech Computer Science; B.Tech AI & Machine Learning; B.Tech Information Technology; Bachelor of Business Administration (BBA); Bachelor of Computer Applications (BCA); Bachelor of Commerce (B.Com); Bachelor of Arts (BA); Bachelor of Science (B.Sc).,Direct,Reference + Answered FAQ
144,Programs,What postgraduate programs does Meridian offer?,The listed postgraduate programs are: Master of Business Administration (MBA); Master of Computer Applications (MCA); M.Tech (Various Specializations); Master of Science (M.Sc); Master of Arts (MA); Master of Commerce (M.Com).,Direct,Reference + Answered FAQ
145,Programs,Can you list all undergraduate programs?,The undergraduate list is: B.Tech Computer Science; B.Tech AI & Machine Learning; B.Tech Information Technology; Bachelor of Business Administration (BBA); Bachelor of Computer Applications (BCA); Bachelor of Commerce (B.Com); Bachelor of Arts (BA); Bachelor of Science (B.Sc).,Direct,Reference + Answered FAQ
146,Programs,Can you list all postgraduate programs?,The postgraduate list is: Master of Business Administration (MBA); Master of Computer Applications (MCA); M.Tech (Various Specializations); Master of Science (M.Sc); Master of Arts (MA); Master of Commerce (M.Com).,Direct,Reference + Answered FAQ
147,Programs,Can you list all programs?,"The reference explicitly lists eight undergraduate programs and six postgraduate programs, plus four doctoral research areas. It also states the university has 50+ programs overall; the document does not enumerate all 50+ individually.",Direct,Reference + Answered FAQ
148,Programs,What degree types are available?,"The reference covers undergraduate, postgraduate and doctoral programs. The admission script also lists Diploma as a course category, but the reference does not provide specific diploma programs.",Direct,Reference + Answered FAQ
149,Programs,Does Meridian offer diploma programs?,"The admission script includes Diploma as a course category, but the university reference does not list any specific diploma program. Please confirm diploma offerings with Admissions.",Direct,Reference + Answered FAQ
150,Doctoral Programs,Does Meridian offer PhD programs?,Yes. Meridian offers doctoral programs with research areas across four broad areas.,Direct,Reference + Answered FAQ
151,Doctoral Programs,What research areas are available for PhD?,The doctoral research areas are: Engineering & Computing; Business & Economics; Natural Sciences; Humanities & Social Sciences.,Direct,Reference + Answered FAQ
152,Doctoral Programs,What PhD research areas are available in Engineering & Computing?,"Engineering & Computing focuses on AI systems, robotics, distributed computing and network security.",Direct,Reference + Answered FAQ
153,Doctoral Programs,Can I do a PhD in Engineering & Computing?,"Yes, Engineering & Computing is listed as a doctoral research area. The reference specifies the focus as AI systems, robotics, distributed computing and network security.",Direct,Reference + Answered FAQ
154,Doctoral Programs,What PhD research areas are available in Business & Economics?,"Business & Economics focuses on Organizational behavior, financial markets and applied economics.",Direct,Reference + Answered FAQ
155,Doctoral Programs,Can I do a PhD in Business & Economics?,"Yes, Business & Economics is listed as a doctoral research area. The reference specifies the focus as Organizational behavior, financial markets and applied economics.",Direct,Reference + Answered FAQ
156,Doctoral Programs,What PhD research areas are available in Natural Sciences?,"Natural Sciences focuses on Materials science, molecular biology and computational chemistry.",Direct,Reference + Answered FAQ
157,Doctoral Programs,Can I do a PhD in Natural Sciences?,"Yes, Natural Sciences is listed as a doctoral research area. The reference specifies the focus as Materials science, molecular biology and computational chemistry.",Direct,Reference + Answered FAQ
158,Doctoral Programs,What PhD research areas are available in Humanities & Social Sciences?,"Humanities & Social Sciences focuses on Media studies, comparative literature and public policy.",Direct,Reference + Answered FAQ
159,Doctoral Programs,Can I do a PhD in Humanities & Social Sciences?,"Yes, Humanities & Social Sciences is listed as a doctoral research area. The reference specifies the focus as Media studies, comparative literature and public policy.",Direct,Reference + Answered FAQ
160,Doctoral Programs,What are the PhD admission requirements?,"A relevant master's degree, a research proposal, and faculty availability in the chosen research area are required.",Direct,Reference + Answered FAQ
161,Doctoral Programs,Is a research proposal required for PhD admission?,Yes. A research proposal is listed as a doctoral admission requirement.,Direct,Reference + Answered FAQ
162,Doctoral Programs,Is faculty availability required for PhD admission?,Yes. Faculty availability in the chosen area is listed as a requirement.,Direct,Reference + Answered FAQ
163,Doctoral Programs,Does the PhD have a fixed tuition fee?,No fixed PhD tuition amount is given. The document says PhD tuition is determined by research area and funding arrangement and advises prospective candidates to contact Admissions for a specific quotation.,Direct,Reference + Answered FAQ
164,Doctoral Programs,Are funded research positions available for PhD students?,Yes. The reference says funded research positions are available across every school.,Direct,Reference + Answered FAQ
165,Doctoral Programs,Does the PhD provide faculty mentorship?,Yes. The doctoral program is described as being built around close faculty mentorship.,Direct,Reference + Answered FAQ
166,Doctoral Programs,Do PhD students get lab access?,Yes. The reference mentions dedicated lab access for doctoral students.,Direct,Reference + Answered FAQ
167,Eligibility,What are the undergraduate eligibility requirements?,Undergraduate applicants need completion of 10+2 or equivalent with the minimum subject requirements for the chosen program.,Direct,Reference + Answered FAQ
168,Eligibility,What are the postgraduate eligibility requirements?,Postgraduate applicants need a relevant bachelor's degree with the minimum aggregate marks specified per program.,Direct,Reference + Answered FAQ
169,Eligibility,What are the doctoral eligibility requirements?,"Doctoral applicants need a relevant master's degree, a research proposal, and faculty availability in the chosen area.",Direct,Reference + Answered FAQ
170,Eligibility,What do I need after 12th to apply?,You need 10+2 or equivalent and the minimum subject requirements for the selected undergraduate program.,Direct,Reference + Answered FAQ
171,Eligibility,I completed 12th with PCM. What can I apply for?,"The listed programs requiring PCM are B.Tech Computer Science, B.Tech AI & Machine Learning, B.Tech Information Technology, and B.Sc accepts PCM/PCB.",Direct,Reference + Answered FAQ
172,Eligibility,I completed 12th with PCB. What can I apply for?,B.Sc is listed with 10+2 (PCM/PCB) eligibility. The B.Tech programs are listed as requiring PCM.,Direct,Reference + Answered FAQ
173,Eligibility,I completed 12th in Commerce. What can I apply for?,"BBA, BCA, B.Com and BA are listed as accepting 10+2 from any stream. B.Sc is listed as PCM/PCB and B.Tech programs as PCM.",Direct,Reference + Answered FAQ
174,Eligibility,I completed 12th in Arts. What can I apply for?,"BBA, BCA, B.Com and BA are listed as accepting 10+2 from any stream.",Direct,Reference + Answered FAQ
175,Eligibility,Which programs accept any stream?,"BBA, BCA, B.Com and BA are listed with 10+2 (Any Stream) eligibility.",Direct,Reference + Answered FAQ
